iter	Passed	Remaining
239	1120	3547
240	1122	3533
241	1123	3519
242	1124	3504
243	1128	3497
244	1130	3482
245	1131	3468
246	1135	3460
247	1137	3449
248	1139	3436
249	1144	3433
250	1147	3423
251	1150	3415
252	1153	3404
253	1155	3393
254	1160	3389
255	1162	3378
256	1164	3366
257	1166	3355
258	1168	3343
259	1170	3331
260	1173	3323
261	1176	3315
262	1178	3303
263	1180	3292
264	1183	3281
265	1190	3284
266	1193	3276
267	1196	3268
268	1199	3258
269	1202	3251
270	1206	3245
271	1209	3236
272	1216	3240
273	1219	3230
274	1222	3221
275	1224	3212
276	1226	3202
277	1229	3193
278	1231	3182
279	1234	3174
280	1236	3164
281	1241	3161
282	1243	3151
283	1245	3140
284	1247	3130
285	1249	3119
286	1251	3108
287	1253	3098
288	1256	3091
289	1258	3080
290	1259	3069
291	1261	3058
292	1262	3047
293	1264	3036
294	1265	3024
295	1268	3016
296	1272	3012
297	1275	3005
298	1278	2996
299	1280	2987
300	1292	3001
301	1295	2993
302	1298	2986
303	1307	2993
304	1311	2989
305	1314	2980
306	1324	2990
307	1327	2982
308	1329	2973
309	1339	2981
310	1342	2973
311	1344	2965
312	1366	3000
313	1376	3008
314	1384	3010
315	1415	3063
316	1431	3085
317	1440	3089
318	1447	3090
319	1450	3081
320	1458	3084
321	1461	3076
322	1472	3086
323	1476	3079
324	1485	3085
325	1489	3079
326	1496	3079
327	1500	3073
328	1504	3068
329	1511	3069
330	1514	3060
331	1516	3050
332	1518	3042
333	1520	3032
334	1525	3027
335	1530	3025
336	1533	3017
337	1535	3007
338	1538	2999
339	1541	2991
340	1543	2982
341	1545	2972
342	1547	2963
343	1548	2953
344	1550	2943
345	1554	2937
346	1556	2929
347	1558	2919
348	1559	2909
349	1562	2901
350	1563	2891
351	1565	2881
352	1568	2875
353	1571	2866
354	1572	2857
355	1576	2851
356	1580	2845
357	1585	2843
358	1587	2835
359	1589	2825
360	1590	2815
361	1592	2805
362	1593	2796
363	1594	2786
364	1597	2779
365	1600	2771
366	1601	2762
367	1603	2753
368	1604	2744
369	1606	2734
370	1607	2725
371	1609	2716
372	1610	2707
373	1614	2701
374	1615	2692
375	1617	2684
376	1619	2675
377	1621	2667
378	1622	2659
379	1624	2650
380	1626	2642
381	1629	2635
382	1631	2627
383	1632	2619
384	1634	2610
385	1635	2601
386	1636	2592
387	1638	2584
388	1639	2575
389	1643	2569
390	1645	2563
391	1647	2555
392	1648	2546
393	1650	2538
394	1651	2529
395	1653	2521
396	1654	2513
397	1658	2508
398	1660	2500
399	1661	2492
400	1663	2484
401	1664	2476
402	1666	2467
403	1667	2460
404	1668	2451
405	1670	2443
406	1674	2439
407	1676	2432
408	1678	2425
409	1680	2417
410	1685	2415
411	1690	2413
412	1692	2405
413	1693	2397
414	1695	2389
415	1696	2381
416	1698	2374
417	1699	2366
418	1700	2358
419	1704	2354
420	1706	2346
421	1707	2338
422	1708	2331
423	1710	2323
